avg_arousal,avg_dominance,avg_valence,avg_wpm,dominant_speech_emotion,dominant_text_emotion,f0_mean_hz,f0_std_hz,interruptions_made,interruptions_received,loudness_dr_db,loudness_rms_med,overlap_ratio,pause_count,pause_ratio,pause_total_sec,speaker_id,speaker_name,text_emotions_full_json,text_emotions_top5_json,total_duration,voice_quality_hint,vq_cpps_db_med,vq_hnr_db_med,vq_jitter_pct_med,vq_shimmer_db_med,word_count
0.0,0.003,0.0,200.0,surprised,neutral,133.05,31.47,0,0,0.0,-22.01,,0,0.0,0.0,Speaker_13,Speaker_13,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",1.5,,7.326,9.326,1.609,0.655,5
-0.001,-0.0,0.001,160.0,surprised,neutral,125.94,16.87,0,0,0.0,nan,,0,0.0,0.0,Speaker_11,Speaker_11,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",0.75,,6.063,8.063,0.99,0.714,2
0.005,0.001,-0.008,200.0,surprised,neutral,122.71,13.02,0,0,0.0,-22.712,,0,0.0,0.0,Speaker_2,Speaker_2,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",1.5,,5.699,7.699,1.372,0.647,5
-0.003,0.003,-0.004,240.0,surprised,neutral,116.49,15.44,0,0,0.0,nan,,0,0.0,0.0,Speaker_8,Speaker_8,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",0.75,,18.646,19.126,3.119,0.343,3
-0.003,0.006,-0.005,80.0,neutral,neutral,104.38,1.21,0,0,0.0,nan,,0,0.0,0.0,Speaker_7,Speaker_7,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",0.75,,5.323,7.323,0.625,1.427,1
-0.002,0.003,0.004,160.0,sad,neutral,148.63,18.97,0,0,0.0,nan,,0,0.0,0.0,Speaker_4,Speaker_4,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",0.75,,35.0,21.804,3.19,0.276,2
-0.009,0.003,-0.005,80.0,angry,neutral,118.88,17.71,0,0,0.0,-23.119,,1,0.092,0.21,Speaker_1,Speaker_1,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",2.25,,5.394,7.394,2.188,0.841,3
0.003,-0.005,-0.004,120.0,surprised,neutral,125.57,30.53,0,0,0.0,-24.492,,0,0.0,0.0,Speaker_3,Speaker_3,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",1.5,,5.416,7.416,1.591,0.839,3
-0.008,-0.001,-0.002,80.0,surprised,neutral,123.43,24.09,0,0,0.0,nan,,0,0.0,0.0,Speaker_12,Speaker_12,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",0.75,,30.829,20.759,2.958,0.392,1
-0.008,0.005,-0.004,160.0,surprised,neutral,123.77,18.18,0,0,0.0,-22.603,,0,0.0,0.0,Speaker_5,Speaker_5,"{""admiration"": 0.0, ""amusement"": 0.0, ""anger"": 0.0, ""annoyance"": 0.0, ""approval"": 0.0, ""caring"": 0.0, ""confusion"": 0.0, ""curiosity"": 0.0, ""desire"": 0.0, ""disappointment"": 0.0, ""disapproval"": 0.0, ""disgust"": 0.0, ""embarrassment"": 0.0, ""excitement"": 0.0, ""fear"": 0.0, ""gratitude"": 0.0, ""grief"": 0.0, ""joy"": 0.0, ""love"": 0.0, ""nervousness"": 0.0, ""optimism"": 0.0, ""pride"": 0.0, ""realization"": 0.0, ""relief"": 0.0, ""remorse"": 0.0, ""sadness"": 0.0, ""surprise"": 0.0, ""neutral"": 1.0}","[{""label"": ""neutral"", ""score"": 1.0}, {""label"": ""admiration"", ""score"": 0.0}, {""label"": ""amusement"", ""score"": 0.0}, {""label"": ""anger"", ""score"": 0.0}, {""label"": ""annoyance"", ""score"": 0.0}]",1.5,,6.306,8.306,1.532,0.735,4
